Id: 2, Name: Work Jeans, Selling: 60.00
Id: 3, Name: Orange Hoodie, Selling: 80.00
Id: 4, Name: Eaglefire, Selling: 3000.00
Id: 5, Name: Eaglefire Iron Sights, Selling: 25.00
Id: 6, Name: Military Magazine, Selling: 150.00
Id: 7, Name: Military Suppressor, Selling: 70.00
Id: 8, Name: Vertical Grip, Selling: 45.00
Id: 9, Name: Red Daypack, Selling: 180.00
Id: 10, Name: Police Vest, Selling: 120.00
Id: 11, Name: Red Bandana, Selling: 35.00
Id: 13, Name: Canned Beans, Selling: 15.00
Id: 14, Name: Bottled Water, Selling: 15.00
Id: 15, Name: Medkit, Selling: 80.00
Id: 16, Name: Camp Axe, Selling: 100.00
Id: 17, Name: Military Drum, Selling: 2000.00
Id: 18, Name: Timberwolf, Selling: 0.00
Id: 19, Name: Timberwolf Iron Sights, Selling: 25.00
Id: 20, Name: Timberwolf Magazine, Selling: 0.00
Id: 21, Name: 8x Scope, Selling: 70.00
Id: 22, Name: Cross Scope, Selling: 60.00
Id: 27, Name: Tophat, Selling: 60.00
Id: 28, Name: Portable Gas Can, Selling: 120.00
Id: 29, Name: Maple Fortification, Selling: 75.00
Id: 30, Name: Maple Barricade, Selling: 75.00
Id: 31, Name: Maple Floor, Selling: 75.00
Id: 32, Name: Maple Doorway, Selling: 75.00
Id: 33, Name: Maple Wall, Selling: 75.00
Id: 34, Name: Maple Window, Selling: 75.00
Id: 35, Name: Maple Roof, Selling: 50.00
Id: 36, Name: Maple Pillar, Selling: 50.00
Id: 37, Name: Birch Log, Selling: 25.00
Id: 38, Name: Birch Stick, Selling: 15.00
Id: 39, Name: Maple Log, Selling: 25.00
Id: 40, Name: Maple Stick, Selling: 5.00
Id: 41, Name: Pine Log, Selling: 25.00
Id: 42, Name: Pine Stick, Selling: 15.00
Id: 43, Name: Low Caliber Military Ammunition Crate, Selling: 0.00
Id: 44, Name: Low Caliber Civilian Ammunition Box, Selling: 0.00
Id: 45, Name: Birch Barricade, Selling: 75.00
Id: 46, Name: Pine Barricade, Selling: 75.00
Id: 47, Name: Birch Fortification, Selling: 75.00
Id: 48, Name: Pine Fortification, Selling: 75.00
Id: 49, Name: Birch Doorway, Selling: 75.00
Id: 50, Name: Pine Doorway, Selling: 75.00
Id: 51, Name: Birch Floor, Selling: 75.00
Id: 52, Name: Pine Floor, Selling: 75.00
Id: 53, Name: Birch Pillar, Selling: 50.00
Id: 54, Name: Pine Pillar, Selling: 50.00
Id: 55, Name: Birch Roof, Selling: 50.00
Id: 56, Name: Pine Roof, Selling: 75.00
Id: 57, Name: Birch Wall, Selling: 75.00
Id: 58, Name: Pine Wall, Selling: 75.00
Id: 59, Name: Birch Window, Selling: 75.00
Id: 60, Name: Pine Window, Selling: 75.00
Id: 61, Name: Maple Plank, Selling: 15.00
Id: 62, Name: Birch Plank, Selling: 15.00
Id: 63, Name: Pine Plank, Selling: 15.00
Id: 64, Name: Rope, Selling: 50.00
Id: 65, Name: Wire, Selling: 175.00
Id: 66, Name: Cloth, Selling: 15.00
Id: 67, Name: Metal Scrap, Selling: 50.00
Id: 68, Name: Metal Sheet, Selling: 100.00
Id: 69, Name: Tape, Selling: 15.00
Id: 70, Name: Glue, Selling: 75.00
Id: 71, Name: Nails, Selling: 15.00
Id: 72, Name: Metal Can, Selling: 15.00
Id: 73, Name: Raw Explosives, Selling: 0.00
Id: 74, Name: Bricks, Selling: 100.00
Id: 75, Name: Chemicals, Selling: 250.00
Id: 76, Name: Blowtorch, Selling: 150.00
Id: 77, Name: Canned Tomato Soup, Selling: 15.00
Id: 78, Name: Canned Chicken Soup, Selling: 15.00
Id: 79, Name: Canned Tuna, Selling: 15.00
Id: 80, Name: Canned Cola, Selling: 15.00
Id: 81, Name: MRE, Selling: 125.00
Id: 82, Name: Chips, Selling: 15.00
Id: 83, Name: Chocolate Bar, Selling: 15.00
Id: 84, Name: Candy Bar, Selling: 15.00
Id: 85, Name: Granola Bar, Selling: 15.00
Id: 86, Name: Energy Bar, Selling: 20.00
Id: 87, Name: Canned Pasta, Selling: 15.00
Id: 88, Name: Canned Bacon, Selling: 15.00
Id: 89, Name: Canned Beef, Selling: 15.00
Id: 90, Name: Canned Sardines, Selling: 15.00
Id: 91, Name: Apple Juice, Selling: 15.00
Id: 92, Name: Grape Juice, Selling: 15.00
Id: 93, Name: Bottled Energy, Selling: 20.00
Id: 94, Name: Bottled Coconut, Selling: 15.00
Id: 95, Name: Bandage, Selling: 15.00
Id: 96, Name: Splint, Selling: 20.00
Id: 97, Name: 1911, Selling: 400.00
Id: 98, Name: 1911 Magazine, Selling: 80.00
Id: 99, Name: Cobra, Selling: 600.00
Id: 100, Name: Cobra Magazine, Selling: 100.00
Id: 101, Name: Schofield, Selling: 700.00
Id: 102, Name: Schofield Iron Sights, Selling: 25.00
Id: 103, Name: Schofield Clip, Selling: 100.00
Id: 104, Name: Fire Axe, Selling: 100.00
Id: 105, Name: Baseball Bat, Selling: 60.00
Id: 106, Name: Hockey Stick, Selling: 50.00
Id: 107, Name: Ace, Selling: 500.00
Id: 108, Name: Ace Clip, Selling: 100.00
Id: 109, Name: Hawkhound, Selling: 650.00
Id: 110, Name: Hawkhound Iron Sights, Selling: 25.00
Id: 111, Name: Hawkhound Magazine, Selling: 90.00
Id: 112, Name: Bluntforce, Selling: 2500.00
Id: 113, Name: 12 Gauge Shells, Selling: 150.00
Id: 114, Name: Bluntforce Iron Sights, Selling: 25.00
Id: 115, Name: Raw Mauve Berries, Selling: 0.00
Id: 116, Name: PDW, Selling: 15000.00
Id: 117, Name: Name, Selling: 0.00
Id: 118, Name: PDW Iron Sights, Selling: 25.00
Id: 119, Name: Low Caliber Ranger Ammunition Box, Selling: 0.00
Id: 120, Name: Kitchen Knife, Selling: 100.00
Id: 121, Name: Military Knife, Selling: 100.00
Id: 122, Name: Zubeknakov, Selling: 0.00
Id: 123, Name: Ranger Magazine, Selling: 150.00
Id: 124, Name: Zubeknakov Iron Sights, Selling: 25.00
Id: 125, Name: Ranger Drum, Selling: 250.00
Id: 126, Name: Nykorev, Selling: 0.00
Id: 127, Name: Nykorev Box, Selling: 0.00
Id: 128, Name: Nykorev Iron Sights, Selling: 25.00
Id: 129, Name: Snayperskya, Selling: 2500.00
Id: 130, Name: Snayperskya Magazine, Selling: 260.00
Id: 131, Name: Snayperskya Iron Sights, Selling: 25.00
Id: 132, Name: Dragonfang, Selling: 0.00
Id: 133, Name: Dragonfang Box, Selling: 0.00
Id: 134, Name: Dragonfang Iron Sights, Selling: 25.00
Id: 135, Name: Golf Club, Selling: 60.00
Id: 136, Name: Sledgehammer, Selling: 65.00
Id: 137, Name: Butcher Knife, Selling: 100.00
Id: 138, Name: Hammer, Selling: 50.00
Id: 139, Name: Pocketknife, Selling: 100.00
Id: 140, Name: Butterfly Knife, Selling: 100.00
Id: 141, Name: Saw, Selling: 50.00
Id: 142, Name: Rake, Selling: 50.00
Id: 143, Name: Bipod, Selling: 60.00
Id: 144, Name: Ranger Suppressor, Selling: 75.00
Id: 145, Name: Horizontal Grip, Selling: 55.00
Id: 146, Name: Dot Sight, Selling: 70.00
Id: 147, Name: Halo Sight, Selling: 70.00
Id: 148, Name: Chevron Scope, Selling: 80.00
Id: 149, Name: Military Barrel, Selling: 120.00
Id: 150, Name: Military Muzzle, Selling: 120.00
Id: 151, Name: Tactical Laser, Selling: 45.00
Id: 152, Name: Tactical Light, Selling: 45.00
Id: 153, Name: 7x Scope, Selling: 65.00
Id: 154, Name: Orange Shirt, Selling: 60.00
Id: 155, Name: Orange T-Shirt, Selling: 55.00
Id: 156, Name: Orange Parka, Selling: 90.00
Id: 157, Name: Purple Hoodie, Selling: 80.00
Id: 158, Name: Purple Shirt, Selling: 60.00
Id: 159, Name: Purple T-Shirt, Selling: 55.00
Id: 160, Name: Purple Parka, Selling: 90.00
Id: 161, Name: Green Hoodie, Selling: 80.00
Id: 162, Name: Green Parka, Selling: 90.00
Id: 163, Name: Green Shirt, Selling: 60.00
Id: 164, Name: Green T-Shirt, Selling: 55.00
Id: 165, Name: Red Hoodie, Selling: 80.00
Id: 166, Name: Red Parka, Selling: 90.00
Id: 167, Name: Red Shirt, Selling: 60.00
Id: 168, Name: Red T-Shirt, Selling: 55.00
Id: 169, Name: Yellow Hoodie, Selling: 80.00
Id: 170, Name: Yellow Parka, Selling: 90.00
Id: 171, Name: Yellow Shirt, Selling: 60.00
Id: 172, Name: Yellow T-Shirt, Selling: 55.00
Id: 173, Name: Blue Hoodie, Selling: 80.00
Id: 174, Name: Blue Parka, Selling: 90.00
Id: 175, Name: Blue Shirt, Selling: 60.00
Id: 176, Name: Blue T-Shirt, Selling: 55.00
Id: 177, Name: White Hoodie, Selling: 80.00
Id: 178, Name: White Parka, Selling: 90.00
Id: 179, Name: White Shirt, Selling: 60.00
Id: 180, Name: White T-Shirt, Selling: 55.00
Id: 181, Name: Black Hoodie, Selling: 80.00
Id: 182, Name: Black Parka, Selling: 90.00
Id: 183, Name: Black Shirt, Selling: 60.00
Id: 184, Name: Black T-Shirt, Selling: 55.00
Id: 185, Name: Black Bandana, Selling: 35.00
Id: 186, Name: Blue Bandana, Selling: 35.00
Id: 187, Name: Green Bandana, Selling: 35.00
Id: 188, Name: Orange Bandana, Selling: 35.00
Id: 189, Name: Purple Bandana, Selling: 35.00
Id: 190, Name: White Bandana, Selling: 35.00
Id: 191, Name: Yellow Bandana, Selling: 35.00
Id: 192, Name: Black Toque, Selling: 40.00
Id: 193, Name: Blue Toque, Selling: 40.00
Id: 194, Name: Green Toque, Selling: 40.00
Id: 195, Name: Orange Toque, Selling: 40.00
Id: 196, Name: Purple Toque, Selling: 40.00
Id: 197, Name: Red Toque, Selling: 40.00
Id: 198, Name: White Toque, Selling: 40.00
