Id: 21500, Name: Wood, Selling: 50.00
Id: 21501, Name: Stack Of Wood, Selling: 500.00
Id: 21502, Name: Electronics, Selling: 100.00
Id: 21503, Name: Stack Of Electronics, Selling: 500.00
Id: 21504, Name: Metal, Selling: 100.00
Id: 21505, Name: Stack Of Metal, Selling: 600.00
Id: 21506, Name: Cloth, Selling: 50.00
Id: 21507, Name: Stack Of Cloth, Selling: 0.00
Id: 21508, Name: Stack Of Money, Selling: 0.00
Id: 21509, Name: Gold Bar, Selling: 0.00
Id: 21510, Name: Viper, Selling: 2500.00
Id: 21511, Name: Viper PDW Mods, Selling: 0.00
Id: 21512, Name: Viper Baseline Mods, Selling: 0.00
Id: 21513, Name: Viper Old School Mods, Selling: 0.00
Id: 21514, Name: Echo Barrel, Selling: 0.00
Id: 21515, Name: Attrition Mods, Selling: 0.00
Id: 21516, Name: Gnome Effigy, Selling: 0.00
Id: 21517, Name: Viper SD, Selling: 0.00
Id: 21518, Name: Raymond, Selling: 0.00
Id: 21519, Name: Red Dot Sight, Selling: 0.00
Id: 21520, Name: Armor Plating, Selling: 400.00
Id: 21521, Name: GPS, Selling: 200.00
Id: 21522, Name: Gun Parts, Selling: 0.00
Id: 21523, Name: Stack Of Gun Parts, Selling: 0.00
Id: 21524, Name: Full-Spectrum Silencer Kit, Selling: 0.00
Id: 21525, Name: Hammer, Selling: 200.00
Id: 21526, Name: Pistol Ammo Box, Selling: 200.00
Id: 21527, Name: Rifle Ammo Box, Selling: 300.00
Id: 21528, Name: Sniper Ammo Box, Selling: 400.00
Id: 21529, Name: Debug, Selling: 0.00
Id: 21530, Name: Lapua Ammo Box, Selling: 0.00
Id: 21531, Name: Testing Alicepack, Selling: 0.00
Id: 21532, Name: Raymond Mods, Selling: 0.00
Id: 21533, Name: Green Dot Sight, Selling: 0.00
Id: 21534, Name: Viper Specialist Mods, Selling: 0.00
Id: 21535, Name: Nail, Selling: 50.00
Id: 21536, Name: Stack Of Nails, Selling: 0.00
Id: 21537, Name: Tape, Selling: 100.00
Id: 21538, Name: Dogtag, Selling: 0.00
Id: 21539, Name: Pitbull, Selling: 2500.00
Id: 21540, Name: Pitbull Baseline Mods, Selling: 0.00
Id: 21541, Name: Pitbull Picket Mods, Selling: 0.00
Id: 21542, Name: Pitbull Slick Mods, Selling: 0.00
Id: 21543, Name: Skeletonised Receiver, Selling: 0.00
Id: 21544, Name: Pitbull FMJ Mag, Selling: 150.00
Id: 21545, Name: Heavy Barrel, Selling: 100.00
Id: 21546, Name: Iridium Barrel, Selling: 0.00
Id: 21547, Name: Ported Barrel, Selling: 0.00
Id: 21548, Name: Tactical Light, Selling: 100.00
Id: 21549, Name: Tactical Laser, Selling: 100.00
Id: 21550, Name: Military Laser, Selling: 200.00
Id: 21552, Name: Adaptive Accelerator, Selling: 200.00
Id: 21553, Name: Horizontal Fixer, Selling: 200.00
Id: 21554, Name: Gilded Bolt Carrier, Selling: 0.00
Id: 21555, Name: Platinum Recoil Spring, Selling: 0.00
Id: 21556, Name: Stable Adapter, Selling: 200.00
Id: 21557, Name: Vertical Stabilizer, Selling: 0.00
Id: 21558, Name: Adamantine Buffer Tube, Selling: 0.00
Id: 21559, Name: Weighted Bolt, Selling: 200.00
Id: 21560, Name: Red Reflex Sight, Selling: 0.00
Id: 21561, Name: Green Reflex Sight, Selling: 0.00
Id: 21562, Name: Bone Hook, Selling: 0.00
Id: 21563, Name: Bread, Selling: 50.00
Id: 21564, Name: Lapua Bullet, Selling: 0.00
Id: 21565, Name: Quake PDW Mods, Selling: 0.00
Id: 21566, Name: Quake Baseline Mods, Selling: 0.00
Id: 21567, Name: Quake Specialist Mods, Selling: 0.00
Id: 21568, Name: Bone Spikes, Selling: 0.00
Id: 21569, Name: Quake, Selling: 4500.00
Id: 21570, Name: Compass, Selling: 0.00
Id: 21571, Name: PDA, Selling: 0.00
Id: 21572, Name: Pitbull SD, Selling: 0.00
Id: 21573, Name: Echo SD Barrel, Selling: 0.00
Id: 21574, Name: Echo Receiver, Selling: 0.00
Id: 21575, Name: Explosives, Selling: 0.00
Id: 21576, Name: Stack Of Explosives, Selling: 0.00
Id: 21577, Name: Military Keycard, Selling: 0.00
Id: 21578, Name: Metal Parts, Selling: 0.00
Id: 21579, Name: Blue Herb, Selling: 0.00
Id: 21580, Name: Green Herb, Selling: 0.00
Id: 21581, Name: Red Herb, Selling: 0.00
Id: 21582, Name: Echo Bolt, Selling: 0.00
Id: 21583, Name: Widowmaker Scope, Selling: 0.00
Id: 21584, Name: Widowmaker Mag, Selling: 0.00
Id: 21585, Name: Widowmaker, Selling: 0.00
Id: 21586, Name: Chevron Scope, Selling: 100.00
Id: 21587, Name: Phantom Scope, Selling: 100.00
Id: 21588, Name: Cooking Salt, Selling: 0.00
Id: 21589, Name: Blue Extract, Selling: 0.00
Id: 21590, Name: Green Extract, Selling: 0.00
Id: 21591, Name: Red Extract, Selling: 0.00
Id: 21592, Name: Gunpowder, Selling: 0.00
Id: 21593, Name: Toolbox, Selling: 500.00
Id: 21594, Name: Advanced Tools, Selling: 0.00
Id: 21595, Name: Repair Kit, Selling: 500.00
Id: 21596, Name: Glue, Selling: 50.00
Id: 21597, Name: GL Ammo Crate, Selling: 0.00
Id: 21598, Name: Fabric, Selling: 50.00
Id: 21599, Name: Basic Pouch, Selling: 0.00
Id: 21600, Name: Cargo Pouch, Selling: 0.00
Id: 21601, Name: Stinger Grenade, Selling: 0.00
Id: 21602, Name: Cobalt Powder, Selling: 0.00
Id: 21603, Name: Brute PDW Mods, Selling: 0.00
Id: 21604, Name: Brute Baseline Mods, Selling: 0.00
Id: 21605, Name: Brute Specialist Mods, Selling: 0.00
Id: 21606, Name: Cooking Pot, Selling: 0.00
Id: 21607, Name: Brute, Selling: 0.00
Id: 21608, Name: Widowmaker Internals, Selling: 0.00
Id: 21609, Name: Widowmaker Scope Module, Selling: 0.00
Id: 21610, Name: Stack Of Armor Plating, Selling: 0.00
Id: 21611, Name: Stack Of Fabric, Selling: 0.00
Id: 21612, Name: Eaglefire, Selling: 4000.00
Id: 21613, Name: Eaglefire SD, Selling: 4400.00
Id: 21614, Name: Eagle, Selling: 4000.00
Id: 21615, Name: Eagle SD, Selling: 4400.00
Id: 21616, Name: Eaglestrike, Selling: 4500.00
Id: 21618, Name: Halotech Sight, Selling: 0.00
Id: 21619, Name: Variable Scope [1.5x], Selling: 0.00
Id: 21620, Name: Variable Scope [5x], Selling: 0.00
Id: 21621, Name: Variable Scope [9x], Selling: 0.00
Id: 21622, Name: Adler Mods, Selling: 0.00
Id: 21623, Name: Eagle Baseline Mods, Selling: 0.00
Id: 21624, Name: Meat Sandwich, Selling: 0.00
Id: 21625, Name: Eagle Old School Mods, Selling: 0.00
Id: 21626, Name: Eagle PDW Mods, Selling: 0.00
Id: 21627, Name: Eagle Precision Mods, Selling: 0.00
Id: 21628, Name: Eagle Striker Mods, Selling: 0.00
Id: 21629, Name: Loaf Of Bread, Selling: 0.00
Id: 21630, Name: Halotech Optic, Selling: 0.00
Id: 21631, Name: Adler, Selling: 4000.00
Id: 21632, Name: Law Rocket, Selling: 0.00
Id: 21633, Name: Law, Selling: 0.00
Id: 21634, Name: Carbon Frame, Selling: 0.00
Id: 21635, Name: Flare, Selling: 0.00
Id: 21636, Name: Frag Grenade, Selling: 0.00
Id: 21637, Name: Smoke Grenade, Selling: 100.00
Id: 21638, Name: Flashbang, Selling: 100.00
Id: 21639, Name: Banger Grenade, Selling: 0.00
Id: 21640, Name: Baseball Bat, Selling: 0.00
Id: 21641, Name: Mangled Bat, Selling: 0.00
Id: 21642, Name: Welding Torch, Selling: 0.00
Id: 21643, Name: Axe, Selling: 200.00
Id: 21644, Name: Crowbar, Selling: 200.00
Id: 21645, Name: Entrenching Tool, Selling: 200.00
Id: 21646, Name: Frying Pan, Selling: 200.00
Id: 21647, Name: Kitchen Knife, Selling: 200.00
Id: 21648, Name: Field Knife, Selling: 200.00
Id: 21649, Name: Survival Knife, Selling: 200.00
