Id: 58999, Name: Debug, Selling: 0.00
Id: 59000, Name: Metal Fragments, Selling: 0.00
Id: 59001, Name: Glass Fragments, Selling: 0.00
Id: 59002, Name: Cloth Fragments, Selling: 25.00
Id: 59003, Name: Blowtorch, Selling: 125.00
Id: 59004, Name: Hammer, Selling: 50.00
Id: 59005, Name: Pocket Knife, Selling: 50.00
Id: 59006, Name: Handsaw, Selling: 50.00
Id: 59007, Name: Copper Wire, Selling: 35.00
Id: 59008, Name: Copper Coil, Selling: 210.00
Id: 59009, Name: Metal Bar, Selling: 175.00
Id: 59010, Name: Metal Parts, Selling: 85.00
Id: 59011, Name: Metal Plate, Selling: 500.00
Id: 59012, Name: Mug, Selling: 0.00
Id: 59013, Name: Plate, Selling: 0.00
Id: 59014, Name: Antiseptic, Selling: 0.00
Id: 59015, Name: Camera, Selling: 0.00
Id: 59016, Name: Electronics, Selling: 0.00
Id: 59017, Name: Lens, Selling: 0.00
Id: 59018, Name: Lighter, Selling: 0.00
Id: 59021, Name: Broken Radio, Selling: 0.00
Id: 59023, Name: RC Controller, Selling: 0.00
Id: 59024, Name: Saltpeter, Selling: 0.00
Id: 59025, Name: Sugar, Selling: 0.00
Id: 59026, Name: TV Remote, Selling: 0.00
Id: 59027, Name: Walkie Talkie, Selling: 0.00
Id: 59028, Name: Plastic Fragments, Selling: 35.00
Id: 59029, Name: Baking Pan, Selling: 0.00
Id: 59030, Name: Empty Jar, Selling: 0.00
Id: 59031, Name: Fork, Selling: 0.00
Id: 59032, Name: Butter Knife, Selling: 0.00
Id: 59033, Name: Spork, Selling: 0.00
Id: 59034, Name: Coffee Pot, Selling: 0.00
Id: 59035, Name: Cooking Pot, Selling: 0.00
Id: 59036, Name: Blasting Cap, Selling: 0.00
Id: 59037, Name: Computer Mouse , Selling: 0.00
Id: 59038, Name: Computer Keyboard , Selling: 0.00
Id: 59039, Name: Heavy Duty Cable, Selling: 0.00
Id: 59040, Name: Dumbbell, Selling: 0.00
Id: 59041, Name: USB Stick, Selling: 0.00
Id: 59042, Name: Hard Drive, Selling: 0.00
Id: 59043, Name: Kitchen Towel, Selling: 0.00
Id: 59044, Name: Key, Selling: 0.00
Id: 59045, Name: Candy, Selling: 0.00
Id: 59046, Name: Canned Beans, Selling: 0.00
Id: 59047, Name: Canned Chicken, Selling: 0.00
Id: 59048, Name: Canned Dog Food, Selling: 0.00
Id: 59049, Name: Canned Fish, Selling: 0.00
Id: 59050, Name: Canned Fish, Selling: 0.00
Id: 59051, Name: Canned Pineapple, Selling: 0.00
Id: 59053, Name: Crackers, Selling: 0.00
Id: 59054, Name: Canteen, Selling: 0.00
Id: 59056, Name: Bottled Water 5/5, Selling: 0.00
Id: 59058, Name: Fish Crackers, Selling: 0.00
Id: 59059, Name: Military Ration, Selling: 0.00
Id: 59060, Name: Military Ration, Selling: 0.00
Id: 59061, Name: Military Ration, Selling: 0.00
Id: 59062, Name: Raw Meat, Selling: 0.00
Id: 59063, Name: Cooked Meat, Selling: 0.00
Id: 59064, Name: Jeans, Selling: 50.00
Id: 59065, Name: Jeans, Selling: 50.00
Id: 59066, Name: Jeans, Selling: 50.00
Id: 59067, Name: Pants, Selling: 50.00
Id: 59068, Name: Pants, Selling: 50.00
Id: 59069, Name: Pants, Selling: 50.00
Id: 59070, Name: Tracksuit Bottoms, Selling: 75.00
Id: 59071, Name: Tracksuit Bottoms, Selling: 75.00
Id: 59072, Name: Tracksuit Bottoms, Selling: 75.00
Id: 59073, Name: Baseball Jacket, Selling: 50.00
Id: 59074, Name: Baseball Jacket, Selling: 50.00
Id: 59075, Name: Baseball Jacket, Selling: 50.00
Id: 59076, Name: Hoodie, Selling: 50.00
Id: 59077, Name: Hoodie, Selling: 50.00
Id: 59078, Name: Hoodie, Selling: 50.00
Id: 59079, Name: Hoodie, Selling: 50.00
Id: 59080, Name: Hoodie, Selling: 50.00
Id: 59081, Name: Jacket, Selling: 50.00
Id: 59082, Name: Jacket, Selling: 50.00
Id: 59083, Name: Jacket, Selling: 50.00
Id: 59084, Name: Jacket, Selling: 50.00
Id: 59085, Name: Jacket, Selling: 50.00
Id: 59086, Name: Jacket, Selling: 50.00
Id: 59087, Name: Tracksuit Top, Selling: 75.00
Id: 59088, Name: Tracksuit Top, Selling: 75.00
Id: 59089, Name: Tracksuit Top, Selling: 75.00
Id: 59090, Name: Military Bottoms, Selling: 75.00
Id: 59091, Name: Military Shirt, Selling: 75.00
Id: 59092, Name: Military Shirt, Selling: 75.00
Id: 59093, Name: Military Shirt, Selling: 75.00
Id: 59094, Name: Camping Pack, Selling: 50.00
Id: 59095, Name: Compact Backpack, Selling: 50.00
Id: 59096, Name: Coyote Pack, Selling: 50.00
Id: 59097, Name: Coyote Pack, Selling: 50.00
Id: 59098, Name: Coyote Pack, Selling: 50.00
Id: 59099, Name: Blue Knapsack, Selling: 75.00
Id: 59100, Name: Green Knapsack, Selling: 75.00
Id: 59101, Name: Pink Knapsack, Selling: 75.00
Id: 59102, Name: Red Knapsack, Selling: 75.00
Id: 59103, Name: Yellow Knapsack, Selling: 75.00
Id: 59104, Name: Rucksack, Selling: 550.00
Id: 59106, Name: Beanie, Selling: 50.00
Id: 59107, Name: Beanie, Selling: 50.00
Id: 59108, Name: Beanie, Selling: 50.00
Id: 59109, Name: Beanie, Selling: 50.00
Id: 59110, Name: Beanie, Selling: 50.00
Id: 59111, Name: Beanie, Selling: 50.00
Id: 59112, Name: Green Fishing Hat, Selling: 50.00
Id: 59113, Name: Beige Fishing Hat, Selling: 50.00
Id: 59114, Name: Red Fishing Hat, Selling: 50.00
Id: 59115, Name: Black Fishing Hat, Selling: 50.00
Id: 59117, Name: Military Cap, Selling: 50.00
Id: 59118, Name: Ski Mask, Selling: 50.00
Id: 59119, Name: Ski Mask, Selling: 50.00
Id: 59120, Name: Ski Mask, Selling: 50.00
Id: 59121, Name: Ski Mask, Selling: 50.00
Id: 59122, Name: Ski Mask, Selling: 50.00
Id: 59123, Name: Green Fishing Vest, Selling: 50.00
Id: 59124, Name: Beige Fishing Vest, Selling: 50.00
Id: 59125, Name: Red Fishing Vest, Selling: 50.00
Id: 59126, Name: Black Fishing Vest, Selling: 50.00
Id: 59127, Name: Recon Vest Mk. I, Selling: 250.00
Id: 59128, Name: Recon Vest Mk. II, Selling: 650.00
Id: 59129, Name: Gas Can, Selling: 75.00
Id: 59130, Name: Oil Canister, Selling: 0.00
Id: 59131, Name: Kerosene, Selling: 0.00
Id: 59132, Name: Trumpet, Selling: 0.00
Id: 59133, Name: Chemical Fertilizer , Selling: 0.00
Id: 59135, Name: Crab, Selling: 0.00
