Id: 25298, Name: Buak_Crate_Safezone, Selling: 0.00
Id: 25299, Name: Buak_Mannequin_Store, Selling: 0.00
Id: 25300, Name: Sewing Thread, Selling: 0.00
Id: 25301, Name: Bones, Selling: 0.00
Id: 25302, Name: Birch Wood, Selling: 50.00
Id: 25303, Name: Birch Wood Bundle, Selling: 0.00
Id: 25304, Name: Maple Wood, Selling: 50.00
Id: 25305, Name: Maple Wood Bundle, Selling: 0.00
Id: 25306, Name: Pine Wood, Selling: 50.00
Id: 25307, Name: Pine Wood Bundle, Selling: 0.00
Id: 25308, Name: Poplar Wood, Selling: 50.00
Id: 25309, Name: Poplar Wood Bundle, Selling: 50.00
Id: 25310, Name: Scrap Metal, Selling: 100.00
Id: 25311, Name: Compost, Selling: 0.00
Id: 25312, Name: Scrap Gun Parts, Selling: 0.00
Id: 25313, Name: Sand, Selling: 0.00
Id: 25314, Name: Nails, Selling: 0.00
Id: 25315, Name: Energy Cell, Selling: 0.00
Id: 25316, Name: Polymer, Selling: 0.00
Id: 25317, Name: Gunpowder, Selling: 0.00
Id: 25318, Name: Rocks, Selling: 50.00
Id: 25319, Name: Glass Shards, Selling: 50.00
Id: 25320, Name: Beverage Tab (1), Selling: 0.00
Id: 25321, Name: Nuts And Bolts, Selling: 0.00
Id: 25322, Name: Coal, Selling: 200.00
Id: 25323, Name: Paracord, Selling: 0.00
Id: 25324, Name: Beverage Tabs (10), Selling: 0.00
Id: 25325, Name: Iron Ore, Selling: 500.00
Id: 25326, Name: Iron, Selling: 500.00
Id: 25327, Name: Sulfur Ore, Selling: 750.00
Id: 25328, Name: Sulfur, Selling: 0.00
Id: 25329, Name: Gold Ore, Selling: 750.00
Id: 25330, Name: Gold, Selling: 1000.00
Id: 25331, Name: Bleach, Selling: 0.00
Id: 25332, Name: Batteries, Selling: 0.00
Id: 25333, Name: Fertilizer, Selling: 0.00
Id: 25334, Name: Charcoal, Selling: 250.00
Id: 25335, Name: Hot Chocolate Mix, Selling: 0.00
Id: 25336, Name: Paper, Selling: 50.00
Id: 25337, Name: Tarp, Selling: 0.00
Id: 25338, Name: Quartz, Selling: 250.00
Id: 25339, Name: Beverage Tabs (100), Selling: 0.00
Id: 25340, Name: Geode, Selling: 0.00
Id: 25341, Name: Titanium Ore, Selling: 1250.00
Id: 25342, Name: Titanium, Selling: 1250.00
Id: 25343, Name: Nickel Ore, Selling: 1250.00
Id: 25344, Name: Nickel, Selling: 1250.00
Id: 25345, Name: Copper Ore, Selling: 900.00
Id: 25346, Name: Copper, Selling: 900.00
Id: 25347, Name: Pyromorphite, Selling: 1000.00
Id: 25348, Name: Diamond, Selling: 1500.00
Id: 25349, Name: Zinc, Selling: 400.00
Id: 25350, Name: Pyrite, Selling: 400.00
Id: 25351, Name: Silver Ore, Selling: 400.00
Id: 25352, Name: Silver, Selling: 400.00
Id: 25353, Name: Paint Thinner, Selling: 0.00
Id: 25354, Name: Duct Tape, Selling: 120.00
Id: 25355, Name: Rope, Selling: 150.00
Id: 25356, Name: Stack Of Electrical Components, Selling: 0.00
Id: 25357, Name: Cloth, Selling: 50.00
Id: 25358, Name: Blood, Selling: 50.00
Id: 25359, Name: Electrical Components, Selling: 0.00
Id: 25360, Name: Electrical Wires, Selling: 0.00
Id: 25361, Name: Blueprint Fragment, Selling: 0.00
Id: 25362, Name: Black Dye, Selling: 50.00
Id: 25363, Name: Blue Dye, Selling: 50.00
Id: 25364, Name: Green Dye, Selling: 50.00
Id: 25365, Name: Orange Dye, Selling: 50.00
Id: 25366, Name: Pink Dye, Selling: 50.00
Id: 25367, Name: Purple Dye, Selling: 50.00
Id: 25368, Name: Red Dye, Selling: 50.00
Id: 25369, Name: White Dye, Selling: 50.00
Id: 25370, Name: Yellow Dye, Selling: 5.00
Id: 25371, Name: 50 Bullet Casings, Selling: 0.00
Id: 25372, Name: Aramid, Selling: 0.00
Id: 25373, Name: Lemonade Mix, Selling: 150.00
Id: 25374, Name: Pink Lemonade Mix, Selling: 150.00
Id: 25375, Name: Hammer, Selling: 200.00
Id: 25376, Name: Blowtorch, Selling: 500.00
Id: 25377, Name: Gun Repair Kit, Selling: 0.00
Id: 25378, Name: Gas Can, Selling: 750.00
Id: 25379, Name: Knife Sharpener, Selling: 0.00
Id: 25380, Name: Research Kit, Selling: 0.00
Id: 25381, Name: Scrap Metal Hatchet, Selling: 400.00
Id: 25382, Name: Scrap Metal Pickaxe, Selling: 400.00
Id: 25383, Name: Camp Axe, Selling: 500.00
Id: 25384, Name: Camp Hatchet, Selling: 500.00
Id: 25385, Name: Emergency Hatchet, Selling: 500.00
Id: 25386, Name: Clearing Axe, Selling: 500.00
Id: 25387, Name: Fire Axe, Selling: 500.00
Id: 25388, Name: Lumberjack Axe, Selling: 500.00
Id: 25389, Name: Sledgehammer, Selling: 500.00
Id: 25390, Name: Miners Pickaxe, Selling: 500.00
Id: 25391, Name: Flashlight, Selling: 150.00
Id: 25392, Name: Military Grade Heavy Duty Flashlight, Selling: 400.00
Id: 25393, Name: Hacksaw, Selling: 150.00
Id: 25394, Name: Walkie Talkie, Selling: 50.00
Id: 25395, Name: Blue Glowstick, Selling: 100.00
Id: 25396, Name: Green Glowstick, Selling: 100.00
Id: 25397, Name: Orange Glowstick, Selling: 100.00
Id: 25398, Name: Purple Glowstick, Selling: 100.00
Id: 25399, Name: Red Glowstick, Selling: 100.00
Id: 25400, Name: Yellow Glowstick, Selling: 100.00
Id: 25401, Name: Wooden Fishing Rod, Selling: 200.00
Id: 25402, Name: Pristine Fishing Rod, Selling: 500.00
Id: 25403, Name: Explosive Charge (Place), Selling: 0.00
Id: 25404, Name: Remote Detonator , Selling: 2500.00
Id: 25405, Name: Dynamite Explosive, Selling: 0.00
Id: 25406, Name: Car Battery, Selling: 400.00
Id: 25407, Name: Car Tire , Selling: 600.00
Id: 25408, Name: Stealy Wheely Automobiley, Selling: 0.00
Id: 25409, Name: Socket Wrench , Selling: 500.00
Id: 25410, Name: Car Jack , Selling: 0.00
Id: 25411, Name: Grenade, Selling: 0.00
Id: 25412, Name: Black Smoke Grenade, Selling: 100.00
Id: 25413, Name: Green Smoke Grenade, Selling: 100.00
Id: 25414, Name: Disposable Camera, Selling: 0.00
Id: 25415, Name: Handcuffs, Selling: 250.00
Id: 25416, Name: Handcuffs Key, Selling: 250.00
Id: 25417, Name: Cable Tie, Selling: 0.00
Id: 25418, Name: Carrot Seed, Selling: 50.00
Id: 25419, Name: Bundle Of Apples (5), Selling: 250.00
Id: 25420, Name: Potato Seed, Selling: 50.00
Id: 25421, Name: Bundle Of Cherries (10), Selling: 500.00
Id: 25422, Name: Onion Seed, Selling: 50.00
Id: 25423, Name: Bundle Of Peaches (5), Selling: 250.00
Id: 25424, Name: Corn Seed, Selling: 50.00
Id: 25425, Name: Bundle Of Lemons (5), Selling: 250.00
